time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,1,1,5,3
2024-10-24 00:00:00+00:00,2,2,1,1
2024-10-27 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,2,1,1,1
2024-10-30 00:00:00+00:00,1,1,2,2
2024-10-31 00:00:00+00:00,0,0,2,2
2024-11-01 00:00:00+00:00,237,2,0,0
2024-11-02 00:00:00+00:00,299,6,7,2
2024-11-04 00:00:00+00:00,259,7,20,2
2024-11-05 00:00:00+00:00,0,0,9,3
2024-11-06 00:00:00+00:00,2,2,1,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-09 00:00:00+00:00,1,1,2,1
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,2,1,0,0
2024-11-12 00:00:00+00:00,2,2,5,3
2024-11-13 00:00:00+00:00,1,1,2,2
