time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,9,3
2024-10-23 00:00:00+00:00,1,1,13,9
2024-10-24 00:00:00+00:00,0,0,2,2
2024-10-25 00:00:00+00:00,0,0,4,2
2024-10-26 00:00:00+00:00,0,0,7,3
2024-10-27 00:00:00+00:00,0,0,2,2
2024-10-28 00:00:00+00:00,0,0,23,3
2024-10-29 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,2,2,17,2
2024-10-31 00:00:00+00:00,0,0,7,3
2024-11-01 00:00:00+00:00,0,0,3,2
2024-11-02 00:00:00+00:00,0,0,3,3
2024-11-03 00:00:00+00:00,1,1,1,1
2024-11-04 00:00:00+00:00,0,0,2,1
2024-11-05 00:00:00+00:00,0,0,5,4
2024-11-06 00:00:00+00:00,1,1,3,3
2024-11-08 00:00:00+00:00,0,0,3,2
2024-11-09 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,3,3
2024-11-12 00:00:00+00:00,0,0,29,3
2024-11-13 00:00:00+00:00,1,1,5,5
2024-11-14 00:00:00+00:00,0,0,40,7
2024-11-15 00:00:00+00:00,1,1,19,3
2024-11-17 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,0,0,15,5
2024-11-19 00:00:00+00:00,0,0,9,3
2024-11-20 00:00:00+00:00,1,1,6,4
2024-11-21 00:00:00+00:00,0,0,3,2
2024-11-22 00:00:00+00:00,0,0,2,2
2024-11-23 00:00:00+00:00,0,0,2,2
2024-11-24 00:00:00+00:00,0,0,4,1
2024-11-25 00:00:00+00:00,0,0,2,2
2024-11-26 00:00:00+00:00,0,0,3,3
2024-11-27 00:00:00+00:00,2,1,17,8
2024-11-28 00:00:00+00:00,1,1,6,4
2024-11-29 00:00:00+00:00,1,1,5,1
2024-11-30 00:00:00+00:00,0,0,1,1
2024-12-01 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,0,0,9,5
2024-12-03 00:00:00+00:00,1,1,5,4
2024-12-04 00:00:00+00:00,1,1,2,2
2024-12-05 00:00:00+00:00,2,2,14,8
2024-12-07 00:00:00+00:00,0,0,1,1
