time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,1,1,30,5
2024-10-23 00:00:00+00:00,8,3,13,8
2024-10-24 00:00:00+00:00,12,4,160,15
2024-10-25 00:00:00+00:00,4,1,60,11
2024-10-26 00:00:00+00:00,1,1,9,1
2024-10-27 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,17,8,45,13
2024-10-29 00:00:00+00:00,2,2,44,11
2024-10-30 00:00:00+00:00,3,2,90,11
2024-10-31 00:00:00+00:00,0,0,122,11
2024-11-01 00:00:00+00:00,146,15,79,5
2024-11-02 00:00:00+00:00,0,0,11,5
2024-11-03 00:00:00+00:00,1,1,1,1
2024-11-04 00:00:00+00:00,5,2,70,9
2024-11-05 00:00:00+00:00,12,4,99,13
2024-11-06 00:00:00+00:00,2,1,61,10
2024-11-07 00:00:00+00:00,11,3,82,5
2024-11-08 00:00:00+00:00,1,1,22,6
2024-11-09 00:00:00+00:00,1,1,5,3
2024-11-10 00:00:00+00:00,0,0,3,2
2024-11-11 00:00:00+00:00,0,0,10,4
2024-11-12 00:00:00+00:00,3,3,21,10
2024-11-13 00:00:00+00:00,1,1,95,11
2024-11-14 00:00:00+00:00,0,0,32,8
2024-11-15 00:00:00+00:00,0,0,51,8
2024-11-16 00:00:00+00:00,0,0,16,1
2024-11-17 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,2,1,122,14
2024-11-19 00:00:00+00:00,7,3,112,17
2024-11-20 00:00:00+00:00,3,2,37,10
2024-11-21 00:00:00+00:00,2,2,112,17
2024-11-22 00:00:00+00:00,2,2,68,8
2024-11-23 00:00:00+00:00,1,1,8,7
2024-11-24 00:00:00+00:00,0,0,90,10
2024-11-25 00:00:00+00:00,0,0,129,10
2024-11-26 00:00:00+00:00,1,1,34,8
2024-11-27 00:00:00+00:00,0,0,67,8
2024-11-28 00:00:00+00:00,0,0,38,10
2024-11-29 00:00:00+00:00,0,0,15,7
2024-11-30 00:00:00+00:00,0,0,3,1
2024-12-01 00:00:00+00:00,215,19,40,4
2024-12-02 00:00:00+00:00,2,2,31,12
2024-12-03 00:00:00+00:00,10,4,143,8
2024-12-04 00:00:00+00:00,0,0,39,9
2024-12-05 00:00:00+00:00,0,0,97,11
2024-12-06 00:00:00+00:00,1,1,38,6
2024-12-07 00:00:00+00:00,2,1,55,2
2024-12-08 00:00:00+00:00,0,0,13,2
2024-12-09 00:00:00+00:00,2,2,162,15
2024-12-10 00:00:00+00:00,1,1,58,9
2024-12-11 00:00:00+00:00,1,1,36,13
2024-12-12 00:00:00+00:00,1,1,37,10
2024-12-13 00:00:00+00:00,0,0,45,8
2024-12-14 00:00:00+00:00,4,2,4,3
2024-12-15 00:00:00+00:00,0,0,2,2
2024-12-16 00:00:00+00:00,0,0,84,10
2024-12-17 00:00:00+00:00,2,2,3,2
2024-12-18 00:00:00+00:00,0,0,92,9
2024-12-19 00:00:00+00:00,0,0,6,5
2024-12-20 00:00:00+00:00,1,1,2,2
2024-12-22 00:00:00+00:00,0,0,1,1
