time_iso8601,stars_cumulative
2021-11-22 00:00:00+00:00,1
2022-10-10 00:00:00+00:00,2
2022-10-20 00:00:00+00:00,3
2023-05-25 00:00:00+00:00,4
2023-05-31 00:00:00+00:00,5
2023-06-06 00:00:00+00:00,6
2023-06-14 00:00:00+00:00,7
2023-06-21 00:00:00+00:00,8
2023-07-10 00:00:00+00:00,9
2023-08-17 00:00:00+00:00,10
2023-10-21 00:00:00+00:00,11
2023-10-25 00:00:00+00:00,12
2023-12-04 00:00:00+00:00,13
2023-12-19 00:00:00+00:00,14
2024-01-03 00:00:00+00:00,15
2024-02-15 00:00:00+00:00,16
2024-03-17 00:00:00+00:00,17
2024-04-01 00:00:00+00:00,18
2024-04-23 00:00:00+00:00,19
2024-05-08 00:00:00+00:00,20
2024-07-02 00:00:00+00:00,21
2024-07-31 00:00:00+00:00,22
2024-08-08 00:00:00+00:00,23
2024-08-26 00:00:00+00:00,25
2024-08-29 00:00:00+00:00,30
2024-08-30 00:00:00+00:00,33
2024-09-02 00:00:00+00:00,34
2024-09-13 00:00:00+00:00,35
2024-09-24 00:00:00+00:00,36
2024-10-03 00:00:00+00:00,37
2024-11-05 00:00:00+00:00,38
2024-12-05 00:00:00+00:00,39
2024-12-09 00:00:00+00:00,40
2024-12-12 00:00:00+00:00,41
2024-12-15 00:00:00+00:00,42
2024-12-16 00:00:00+00:00,43
2024-12-23 00:00:00+00:00,44
2024-12-30 00:00:00+00:00,45
2025-01-22 00:00:00+00:00,47
2025-01-27 00:00:00+00:00,48
2025-02-01 00:00:00+00:00,49
2025-02-06 00:00:00+00:00,50
2025-02-20 00:00:00+00:00,51
2025-04-03 00:00:00+00:00,54
2025-04-10 00:00:00+00:00,55
2025-05-13 00:00:00+00:00,56
2025-06-12 00:00:00+00:00,57
2025-06-17 00:00:00+00:00,58
2025-08-13 00:00:00+00:00,65
2025-08-14 00:00:00+00:00,76
2025-08-15 00:00:00+00:00,81
2025-08-16 00:00:00+00:00,82
2025-08-17 00:00:00+00:00,84
2025-08-18 00:00:00+00:00,85
2025-08-20 00:00:00+00:00,87
2025-08-22 00:00:00+00:00,88
2025-08-24 00:00:00+00:00,89
2025-08-25 00:00:00+00:00,92
2025-08-26 00:00:00+00:00,93
2025-08-27 00:00:00+00:00,94
2025-08-29 00:00:00+00:00,96
2025-08-30 00:00:00+00:00,97
