time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,2,2
2024-10-24 00:00:00+00:00,17,7,9,3
2024-10-25 00:00:00+00:00,3,1,8,1
2024-10-28 00:00:00+00:00,6,2,20,3
2024-10-30 00:00:00+00:00,2,2,1,1
2024-11-01 00:00:00+00:00,178,18,25,3
2024-11-02 00:00:00+00:00,1,1,1,1
2024-11-03 00:00:00+00:00,1,1,0,0
2024-11-04 00:00:00+00:00,1,1,1,1
2024-11-05 00:00:00+00:00,1,1,8,1
2024-11-06 00:00:00+00:00,1,1,1,1
2024-11-07 00:00:00+00:00,0,0,2,1
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,1,1,2,1
2024-11-16 00:00:00+00:00,0,0,1,1
2024-11-19 00:00:00+00:00,0,0,3,2
2024-11-20 00:00:00+00:00,4,2,0,0
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-22 00:00:00+00:00,24,5,243,4
2024-11-23 00:00:00+00:00,0,0,5,3
2024-11-25 00:00:00+00:00,0,0,22,1
2024-11-26 00:00:00+00:00,0,0,2,2
2024-11-27 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,205,23,18,1
2024-12-02 00:00:00+00:00,3,3,1,1
2024-12-03 00:00:00+00:00,0,0,16,3
2024-12-04 00:00:00+00:00,1,1,5,2
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,2,2,1,1
2024-12-12 00:00:00+00:00,0,0,1,1
2024-12-13 00:00:00+00:00,0,0,4,1
2024-12-14 00:00:00+00:00,11,3,0,0
2024-12-15 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,1,1,1,1
2024-12-17 00:00:00+00:00,0,0,4,2
2024-12-18 00:00:00+00:00,2,2,0,0
2024-12-21 00:00:00+00:00,0,0,11,1
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-24 00:00:00+00:00,0,0,1,1
2024-12-25 00:00:00+00:00,1,1,1,1
2024-12-26 00:00:00+00:00,1,1,3,1
2024-12-27 00:00:00+00:00,0,0,3,3
2024-12-31 00:00:00+00:00,0,0,3,1
2025-01-01 00:00:00+00:00,296,27,0,0
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-04 00:00:00+00:00,2,2,0,0
2025-01-06 00:00:00+00:00,1,1,2,2
2025-01-07 00:00:00+00:00,0,0,20,4
2025-01-08 00:00:00+00:00,1,1,2,2
2025-01-09 00:00:00+00:00,1,1,0,0
2025-01-10 00:00:00+00:00,25,4,40,2
