time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,29,16,35,9
2024-10-23 00:00:00+00:00,87,46,64,26
2024-10-24 00:00:00+00:00,112,63,142,39
2024-10-25 00:00:00+00:00,95,50,52,25
2024-10-26 00:00:00+00:00,31,21,25,11
2024-10-27 00:00:00+00:00,37,17,26,13
2024-10-28 00:00:00+00:00,69,40,25,18
2024-10-29 00:00:00+00:00,102,48,65,28
2024-10-30 00:00:00+00:00,91,53,97,35
2024-10-31 00:00:00+00:00,52,28,141,33
2024-11-01 00:00:00+00:00,53,28,69,19
2024-11-02 00:00:00+00:00,23,15,28,11
2024-11-03 00:00:00+00:00,20,16,47,12
2024-11-04 00:00:00+00:00,98,35,77,27
2024-11-05 00:00:00+00:00,92,37,104,41
2024-11-06 00:00:00+00:00,98,43,123,29
2024-11-07 00:00:00+00:00,118,67,71,30
2024-11-08 00:00:00+00:00,56,38,70,31
2024-11-09 00:00:00+00:00,37,16,33,10
2024-11-10 00:00:00+00:00,23,19,13,6
2024-11-11 00:00:00+00:00,63,32,113,29
2024-11-12 00:00:00+00:00,77,48,119,30
2024-11-13 00:00:00+00:00,101,53,248,30
2024-11-14 00:00:00+00:00,82,22,100,30
2024-11-15 00:00:00+00:00,70,22,59,25
2024-11-16 00:00:00+00:00,10,7,13,8
2024-11-17 00:00:00+00:00,15,4,7,4
2024-11-18 00:00:00+00:00,83,40,104,38
2024-11-19 00:00:00+00:00,129,56,104,33
2024-11-20 00:00:00+00:00,116,52,160,50
2024-11-21 00:00:00+00:00,77,41,96,32
2024-11-22 00:00:00+00:00,87,44,59,33
2024-11-23 00:00:00+00:00,19,13,28,10
2024-11-24 00:00:00+00:00,15,11,33,5
2024-11-25 00:00:00+00:00,77,37,69,31
2024-11-26 00:00:00+00:00,77,37,63,29
2024-11-27 00:00:00+00:00,69,39,47,25
2024-11-28 00:00:00+00:00,55,35,95,24
2024-11-29 00:00:00+00:00,39,25,86,29
2024-11-30 00:00:00+00:00,23,16,14,6
2024-12-01 00:00:00+00:00,19,13,14,6
2024-12-02 00:00:00+00:00,37,22,69,29
2024-12-03 00:00:00+00:00,51,32,124,38
2024-12-04 00:00:00+00:00,68,29,74,29
2024-12-05 00:00:00+00:00,64,40,71,24
2024-12-06 00:00:00+00:00,71,33,63,22
2024-12-07 00:00:00+00:00,17,10,12,9
2024-12-08 00:00:00+00:00,18,15,7,5
2024-12-09 00:00:00+00:00,62,37,120,34
2024-12-10 00:00:00+00:00,68,36,37,20
2024-12-11 00:00:00+00:00,59,32,58,27
2024-12-12 00:00:00+00:00,87,45,60,21
2024-12-13 00:00:00+00:00,115,44,95,24
2024-12-14 00:00:00+00:00,14,12,20,6
2024-12-15 00:00:00+00:00,18,12,33,11
2024-12-16 00:00:00+00:00,92,42,121,29
2024-12-17 00:00:00+00:00,77,48,75,31
2024-12-18 00:00:00+00:00,79,40,118,43
2024-12-19 00:00:00+00:00,72,41,119,29
2024-12-20 00:00:00+00:00,80,50,119,19
2024-12-21 00:00:00+00:00,15,12,9,5
2024-12-22 00:00:00+00:00,22,12,20,11
2024-12-23 00:00:00+00:00,57,25,108,23
2024-12-24 00:00:00+00:00,44,26,16,11
2024-12-25 00:00:00+00:00,28,19,47,16
2024-12-26 00:00:00+00:00,29,20,59,21
2024-12-27 00:00:00+00:00,21,13,32,16
2024-12-28 00:00:00+00:00,13,12,51,11
2024-12-29 00:00:00+00:00,13,10,13,8
2024-12-30 00:00:00+00:00,30,23,48,14
2024-12-31 00:00:00+00:00,23,17,30,15
2025-01-01 00:00:00+00:00,22,16,14,10
2025-01-02 00:00:00+00:00,44,26,74,24
2025-01-03 00:00:00+00:00,38,20,30,15
2025-01-04 00:00:00+00:00,14,12,27,13
2025-01-05 00:00:00+00:00,16,15,66,10
2025-01-06 00:00:00+00:00,47,28,68,22
2025-01-07 00:00:00+00:00,39,30,68,29
2025-01-08 00:00:00+00:00,55,32,62,29
2025-01-09 00:00:00+00:00,91,49,48,30
2025-01-10 00:00:00+00:00,76,42,81,27
2025-01-11 00:00:00+00:00,21,15,14,6
2025-01-12 00:00:00+00:00,15,11,28,8
2025-01-13 00:00:00+00:00,73,37,71,35
2025-01-14 00:00:00+00:00,116,61,110,37
2025-01-15 00:00:00+00:00,73,46,127,29
2025-01-16 00:00:00+00:00,93,53,117,38
2025-01-17 00:00:00+00:00,63,34,63,26
2025-01-18 00:00:00+00:00,16,11,21,11
2025-01-19 00:00:00+00:00,13,12,24,14
2025-01-20 00:00:00+00:00,56,36,103,29
2025-01-21 00:00:00+00:00,73,31,67,37
2025-01-22 00:00:00+00:00,80,42,101,45
2025-01-23 00:00:00+00:00,99,46,89,44
2025-01-24 00:00:00+00:00,71,37,35,21
2025-01-25 00:00:00+00:00,25,20,14,10
2025-01-26 00:00:00+00:00,17,12,30,15
2025-01-27 00:00:00+00:00,90,38,70,22
2025-01-28 00:00:00+00:00,63,36,32,19
2025-01-29 00:00:00+00:00,57,36,83,26
2025-01-30 00:00:00+00:00,113,66,57,19
